x	y			kolo	kwadrat	pi							kolo	kwadrat				
145	370	0	1	1	1	4						dla 100:	80	100				
116	330	0	1	2	2	4						wynik:	3,2				zad 4.1	
389	191	0	1	3	3	4											wnêtrze ko³a:	7854
12	344	0	0	3	4	3						dla 1000	807	1000			brzeg ko³a:	2
165	303	0	1	4	5	3,2						wynik:	3,228					
79	312	0	1	5	6	3,333333333											zad 4.2	
92	176	0	1	6	7	3,428571429						dla 5000	3957	5000			dla 1000:	3,228
183	212	0	1	7	8	3,5						wynik:	3,1656				dla 5000:	3,1656
283	145	0	1	8	9	3,555555556											wszystkie:	3,1416
34	315	0	0	8	10	3,2						wszystkie	7854	10000				
226	126	0	1	9	11	3,272727273							3,1416					
227	76	0	1	10	12	3,333333333												
117	292	0	1	11	13	3,384615385												
329	278	0	1	12	14	3,428571429												
369	21	0	0	12	15	3,2							3,141592654					
46	395	0	0	12	16	3												
34	285	0	1	13	17	3,058823529												
82	183	0	1	14	18	3,111111111												
264	359	0	1	15	19	3,157894737												
324	132	0	1	16	20	3,2												
318	4	0	0	16	21	3,047619048												
344	345	0	0	16	22	2,909090909												
195	330	0	1	17	23	2,956521739												
28	381	0	0	17	24	2,833333333												
360	257	0	1	18	25	2,88												
369	247	0	1	19	26	2,923076923												
120	56	0	1	20	27	2,962962963												
107	375	0	1	21	28	3												
64	375	0	0	21	29	2,896551724												
141	376	0	1	22	30	2,933333333												
316	191	0	1	23	31	2,967741935												
390	395	0	0	23	32	2,875												
249	200	0	1	24	33	2,909090909												
283	134	0	1	25	34	2,941176471												
377	250	0	1	26	35	2,971428571												
139	311	0	1	27	36	3												
172	258	0	1	28	37	3,027027027												
212	125	0	1	29	38	3,052631579												
277	256	0	1	30	39	3,076923077												
168	367	0	1	31	40	3,1												
154	155	0	1	32	41	3,12195122												
5	306	0	0	32	42	3,047619048												
96	389	0	0	32	43	2,976744186												
265	311	0	1	33	44	3												
379	1	0	0	33	45	2,933333333												
112	185	0	1	34	46	2,956521739												
70	96	0	1	35	47	2,978723404												
16	111	0	0	35	48	2,916666667												
218	263	0	1	36	49	2,93877551												
28	109	0	1	37	50	2,96												
271	152	0	1	38	51	2,980392157												
373	246	0	1	39	52	3												
220	240	0	1	40	53	3,018867925												
120	390	0	0	40	54	2,962962963												
192	145	0	1	41	55	2,981818182												
37	125	0	1	42	56	3												
280	159	0	1	43	57	3,01754386												
306	319	0	1	44	58	3,034482759												
118	298	0	1	45	59	3,050847458												
192	38	0	1	46	60	3,066666667												
171	45	0	1	47	61	3,081967213												
31	278	0	1	48	62	3,096774194												
233	121	0	1	49	63	3,111111111												
392	254	0	1	50	64	3,125												
215	381	0	1	51	65	3,138461538												
89	280	0	1	52	66	3,151515152												
135	267	0	1	53	67	3,164179104												
116	388	0	0	53	68	3,117647059												
46	294	0	1	54	69	3,130434783												
282	112	0	1	55	70	3,142857143												
0	78	0	0	55	71	3,098591549												
13	243	0	1	56	72	3,111111111												
378	93	0	0	56	73	3,068493151												
195	123	0	1	57	74	3,081081081												
70	175	0	1	58	75	3,093333333												
317	130	0	1	59	76	3,105263158												
166	350	0	1	60	77	3,116883117												
161	18	0	1	61	78	3,128205128												
383	169	0	1	62	79	3,139240506												
107	89	0	1	63	80	3,15												
122	388	0	0	63	81	3,111111111												
204	231	0	1	64	82	3,12195122												
147	354	0	1	65	83	3,13253012												
99	60	0	1	66	84	3,142857143												
370	297	0	1	67	85	3,152941176												
23	280	0	1	68	86	3,162790698												
238	278	0	1	69	87	3,172413793												
234	168	0	1	70	88	3,181818182												
254	230	0	1	71	89	3,191011236												
78	393	0	0	71	90	3,155555556												
211	181	0	1	72	91	3,164835165												
314	261	0	1	73	92	3,173913043												
52	223	0	1	74	93	3,182795699												
92	197	0	1	75	94	3,191489362												
317	330	0	1	76	95	3,2												
345	253	0	1	77	96	3,208333333												
52	28	0	0	77	97	3,175257732												
100	165	0	1	78	98	3,183673469												
123	262	0	1	79	99	3,191919192												
340	311	0	1	80	100	3,2												
171	179	0	1	81	101	3,207920792												
257	114	0	1	82	102	3,215686275												
182	256	0	1	83	103	3,223300971												
165	63	0	1	84	104	3,230769231												
254	249	0	1	85	105	3,238095238												
130	144	0	1	86	106	3,245283019												
330	257	0	1	87	107	3,252336449												
72	41	0	0	87	108	3,222222222												
239	299	0	1	88	109	3,229357798												
14	355	0	0	88	110	3,2												
326	99	0	1	89	111	3,207207207												
119	68	0	1	90	112	3,214285714												
81	13	0	0	90	113	3,185840708												
1	170	0	0	90	114	3,157894737												
349	177	0	1	91	115	3,165217391												
91	185	0	1	92	116	3,172413793												
342	60	0	1	93	117	3,179487179												
